Students	300
1	6 14 8 9
2	17 12 5 10
3	12 5 15 19
4	18 4 19 2
5	18 6 15 13
6	14 2 13 8
7	13 6 3 8
8	15 16 1 9
9	6 19 5 11
10	6 3 1 15
11	8 6 13 12
12	1 15 6 13
13	19 2 16 11
14	15 7 16 20
15	1 10 9 5
16	13 10 19 5
17	18 20 19 17
18	11 10 3 14
19	17 15 3 12
20	3 19 9 1
21	10 19 15 3
22	19 16 6 2
23	11 18 17 10
24	13 9 7 17
25	8 17 1 20
26	14 5 15 11
27	7 11 17 4
28	2 6 5 9
29	4 3 20 12
30	5 4 18 12
31	10 18 15 1
32	14 6 3 15
33	3 10 12 2
34	15 19 5 1
35	1 17 15 12
36	3 7 4 19
37	15 19 1 2
38	17 18 12 3
39	12 7 16 10
40	15 20 12 7
41	7 16 13 3
42	12 7 14 13
43	17 15 7 16
44	20 7 6 5
45	13 11 15 14
46	2 14 3 1
47	13 2 16 12
48	18 12 19 1
49	18 7 6 17
50	9 7 6 4
51	16 3 6 1
52	17 12 7 11
53	2 10 13 17
54	1 8 2 15
55	6 14 1 19
56	9 3 16 8
57	10 18 16 17
58	9 17 13 14
59	7 4 18 19
60	17 4 14 15
61	7 15 20 8
62	13 20 10 8
63	1 7 12 10
64	13 20 19 9
65	5 9 1 3
66	7 4 20 11
67	16 11 14 19
68	16 8 3 7
69	15 16 20 17
70	19 11 14 4
71	12 2 9 16
72	18 10 8 5
73	12 3 11 9
74	6 5 13 2
75	20 19 2 13
76	20 2 4 16
77	8 7 10 19
78	9 13 12 2
79	20 13 3 17
80	19 11 3 16
81	17 5 16 6
82	4 20 18 11
83	7 9 14 12
84	15 11 1 3
85	7 17 12 6
86	18 3 7 4
87	10 7 11 9
88	16 10 20 2
89	4 2 3 16
90	17 14 15 10
91	14 1 4 16
92	10 18 17 2
93	14 1 15 5
94	6 19 3 9
95	11 13 1 9
96	13 18 11 8
97	4 8 20 3
98	15 18 16 2
99	15 7 8 11
100	14 1 12 16
