Students	1000
1	52 26 35 58
2	53 47 5 8
3	55 33 29 18
4	3 19 26 60
5	54 13 7 4
6	38 6 46 43
7	46 16 47 44
8	41 34 15 11
9	34 42 3 39
10	22 21 8 43
11	50 28 54 11
12	2 36 35 42
13	51 33 4 27
14	57 21 59 46
15	36 43 33 59
16	55 51 33 14
17	39 4 5 41
18	41 46 12 19
19	23 7 4 26
20	41 14 45 17
21	57 27 35 31
22	28 12 45 8
23	9 44 28 25
24	60 55 45 32
25	32 36 5 8
26	18 10 20 48
27	36 23 57 18
28	5 12 47 28
29	30 3 5 31
30	54 9 1 38
31	29 46 56 5
32	41 51 12 38
33	60 42 34 10
34	29 20 15 45
35	34 52 27 29
36	29 42 47 22
37	60 19 27 26
38	22 9 28 37
39	3 60 58 36
40	39 42 32 47
41	39 33 28 17
42	5 43 48 58
43	24 16 56 10
44	11 34 3 55
45	37 56 2 22
46	2 45 23 18
47	57 5 23 29
48	52 55 16 15
49	59 14 18 57
50	31 11 5 28
51	27 54 1 5
52	50 28 10 13
53	55 59 4 16
54	59 10 21 23
55	4 16 50 53
56	11 36 49 8
57	49 55 23 13
58	4 33 55 46
59	17 13 31 54
60	38 34 1 32
61	42 2 35 27
62	58 59 57 10
63	57 13 43 11
64	9 10 12 37
65	19 15 16 60
66	7 45 28 10
67	22 18 28 34
68	20 39 48 10
69	14 1 28 17
70	18 24 58 60
71	57 42 29 58
72	43 41 46 38
73	13 17 9 10
74	29 51 11 9
75	59 53 19 15
76	16 18 21 34
77	51 59 60 9
78	52 4 20 32
79	52 9 36 15
80	45 28 32 6
81	53 37 33 10
82	46 9 26 2
83	11 35 1 30
84	24 14 59 16
85	56 10 44 35
86	15 57 37 29
87	25 54 44 45
88	32 41 36 39
89	9 16 56 23
90	33 58 16 50
91	36 44 8 26
92	32 45 2 51
93	10 7 49 20
94	14 32 46 3
95	44 39 36 45
96	22 34 55 28
97	45 51 29 38
98	34 23 2 9
99	10 53 11 48
100	9 59 2 53
101	54 20 15 37
102	28 43 48 56
103	33 23 11 57
104	27 10 1 39
105	8 42 37 19
106	46 2 57 24
107	31 12 7 14
108	58 42 30 8
109	43 32 9 55
110	28 45 4 11
111	46 47 4 57
112	14 54 13 39
113	16 8 7 22
114	56 33 11 38
115	32 38 13 26
116	7 36 10 37
117	10 18 6 47
118	11 38 55 44
119	39 46 56 22
120	19 17 8 7
121	58 36 3 51
122	57 48 15 56
123	42 40 48 38
124	29 59 51 4
125	22 31 30 15
126	6 22 50 16
127	10 52 16 48
128	6 32 43 15
129	25 34 12 44
130	20 25 53 52
131	43 14 56 6
132	48 35 58 16
133	48 15 42 53
134	43 25 51 9
135	31 37 40 41
136	41 15 1 51
137	10 4 42 29
138	38 12 23 10
139	43 4 47 50
140	24 16 45 11
141	34 53 24 35
142	35 40 32 3
143	16 60 15 53
144	34 35 16 38
145	34 31 59 24
146	5 19 3 54
147	58 55 8 17
148	13 31 22 40
149	23 12 39 5
150	8 19 21 48
151	23 37 56 17
152	60 15 1 19
153	60 45 51 17
154	2 36 22 13
155	32 2 6 13
156	7 44 40 38
157	34 60 43 10
158	19 4 57 17
159	50 16 15 31
160	44 16 22 13
161	53 51 3 10
162	44 41 34 45
163	16 50 57 58
164	1 36 15 35
165	36 48 24 14
166	34 39 56 50
167	50 54 20 12
168	47 32 31 51
169	47 58 10 60
170	36 21 53 59
171	20 4 26 56
172	29 11 26 13
173	14 36 50 60
174	59 54 33 40
175	26 22 5 25
176	34 11 3 26
177	57 17 42 56
178	2 58 39 43
179	59 5 4 8
180	12 33 50 24
181	22 41 30 28
182	30 34 16 50
183	4 26 15 14
184	47 46 19 53
185	28 2 24 3
186	20 38 3 7
187	20 60 52 58
188	43 32 7 31
189	54 55 56 39
190	12 43 57 59
191	46 1 32 55
192	22 21 15 25
193	32 6 10 30
194	24 43 1 19
195	13 55 45 49
196	39 43 17 14
197	60 48 5 6
198	43 45 1 49
199	34 56 58 26
200	60 51 13 36
201	28 53 22 56
202	24 42 60 28
203	47 58 49 11
204	60 24 18 6
205	9 14 6 11
206	42 39 17 6
207	55 46 23 2
208	45 17 34 6
209	23 12 38 56
210	46 16 43 12
211	34 4 5 11
212	44 50 28 59
213	43 19 1 52
214	40 29 22 36
215	12 19 50 52
216	55 40 29 46
217	24 46 29 59
218	29 4 37 17
219	42 27 13 25
220	15 2 49 34
221	18 9 27 16
222	26 47 4 9
223	20 10 15 36
224	9 29 24 7
225	16 6 30 21
226	46 53 45 24
227	56 52 41 3
228	17 30 18 10
229	42 55 47 11
230	44 1 10 59
231	21 43 35 14
232	16 15 41 9
233	40 24 10 55
234	6 52 43 29
235	42 18 31 14
236	51 53 27 23
237	2 54 19 50
238	34 58 42 1
239	15 33 48 21
240	14 45 10 29
241	48 14 53 1
242	18 34 60 36
243	31 37 20 30
244	54 19 38 12
245	32 33 25 47
246	12 15 40 4
247	21 51 14 27
248	38 22 8 18
249	16 6 11 26
250	56 44 46 50
251	31 7 44 26
252	34 13 26 58
253	54 18 44 60
254	47 13 26 28
255	58 46 31 21
256	34 57 31 1
257	5 16 55 32
258	29 20 54 23
259	34 48 7 29
260	22 44 54 48
261	55 39 41 8
262	42 21 1 25
263	36 8 49 56
264	56 42 55 17
265	46 23 25 58
266	29 50 24 26
267	21 14 22 18
268	28 18 12 13
269	52 51 2 44
270	18 19 34 42
271	8 33 6 38
272	39 41 32 3
273	33 32 24 45
274	3 31 44 41
275	23 57 33 35
276	52 23 47 48
277	36 33 52 30
278	10 50 57 25
279	20 51 13 59
280	48 46 31 16
281	11 21 38 2
282	32 39 35 54
283	50 59 45 46
284	42 13 59 45
285	35 52 36 12
286	30 23 39 22
287	9 7 51 59
288	24 55 47 54
289	3 33 17 12
290	33 41 25 21
291	39 31 40 35
292	3 20 36 52
293	57 50 49 3
294	3 12 30 51
295	55 28 44 32
296	22 46 44 53
297	52 18 39 45
298	23 36 48 14
299	45 49 6 42
300	4 9 6 25
301	31 43 26 28
302	13 50 18 25
303	18 51 48 60
304	21 53 60 11
305	57 41 6 26
306	32 31 4 38
307	44 11 13 12
308	23 3 25 41
309	17 2 21 31
310	15 35 29 55
311	52 24 19 17
312	22 55 18 35
313	52 14 33 44
314	2 13 35 29
315	57 13 39 15
316	18 47 9 27
317	38 3 8 10
318	29 16 47 44
319	19 27 5 8
320	29 20 4 40
321	27 25 55 20
322	11 58 15 28
323	30 41 59 26
324	57 32 46 23
325	48 12 10 13
326	20 52 35 56
327	14 6 29 45
328	54 39 35 46
329	2 55 3 39
330	31 7 37 57
331	31 51 47 52
332	4 40 7 27
333	52 6 42 12
334	14 44 38 16
335	59 60 35 29
336	6 29 41 4
337	36 30 40 33
338	54 8 18 28
339	50 4 35 17
340	21 41 5 8
341	59 31 44 27
342	56 33 52 40
343	58 17 34 9
344	25 18 33 58
345	54 59 51 53
346	33 51 11 6
347	58 31 11 32
348	38 9 47 51
349	60 38 16 37
350	37 19 2 40
351	47 4 16 14
352	3 23 60 1
353	30 56 40 28
354	35 56 40 21
355	13 43 56 39
356	16 29 31 49
357	36 24 6 41
358	14 42 60 7
359	1 28 7 49
360	26 50 43 9
361	51 1 28 22
362	46 12 39 59
363	30 12 41 9
364	7 49 48 47
365	3 12 5 11
366	56 15 27 50
367	7 43 55 60
368	42 48 15 4
369	25 21 26 12
370	37 1 57 58
371	6 52 24 22
372	46 43 3 36
373	6 53 31 48
374	38 12 36 57
375	26 21 57 2
376	24 49 31 23
377	12 37 3 31
378	55 54 5 59
379	25 19 23 7
380	48 31 47 33
381	54 4 27 56
382	49 42 51 52
383	36 11 43 2
384	10 14 26 59
385	21 32 34 33
386	60 20 52 8
387	6 50 11 55
388	39 24 46 45
389	2 30 44 27
390	39 28 30 8
391	35 14 60 6
392	25 12 52 19
393	28 40 56 31
394	21 59 52 2
395	32 16 36 2
396	35 4 28 39
397	9 58 46 25
398	55 32 37 19
399	59 39 10 41
400	53 23 17 11
401	35 5 2 38
402	49 59 32 22
403	39 6 19 52
404	56 28 4 19
405	28 22 24 23
406	35 20 24 10
407	40 59 19 42
408	17 53 57 30
409	40 4 13 33
410	47 14 12 45
411	26 27 31 55
412	23 32 39 40
413	16 46 41 37
414	43 31 58 51
415	13 56 55 40
416	51 8 34 52
417	58 35 6 31
418	9 60 49 56
419	18 56 17 48
420	57 33 28 49
421	50 27 35 40
422	5 53 43 13
423	8 32 51 60
424	39 8 28 51
425	52 27 36 13
426	60 1 31 7
427	24 31 56 36
428	11 32 19 30
429	56 55 7 40
430	19 17 22 5
431	8 46 55 50
432	54 19 51 32
433	45 41 2 46
434	24 10 40 54
435	1 47 44 6
436	27 19 52 59
437	5 47 55 45
438	2 43 55 46
439	30 50 31 57
440	42 39 31 24
441	12 31 48 36
442	42 51 5 15
443	25 51 38 32
444	35 45 38 59
445	16 11 40 44
446	56 39 19 2
447	29 13 50 38
448	41 23 21 48
449	54 60 28 17
450	52 57 25 60
451	2 16 40 60
452	28 41 29 4
453	19 8 29 51
454	22 28 23 30
455	28 60 7 45
456	7 16 50 49
457	4 23 53 46
458	12 10 44 53
459	12 55 42 49
460	55 2 28 59
461	38 42 26 24
462	50 20 45 37
463	18 29 26 58
464	45 20 31 32
465	30 43 14 7
466	1 46 9 28
467	11 8 13 51
468	31 10 30 35
469	36 18 34 16
470	41 32 45 19
471	35 31 16 15
472	5 38 51 15
473	52 18 31 58
474	16 32 9 47
475	5 45 60 20
476	55 42 8 18
477	18 23 52 30
478	37 49 38 7
479	59 38 45 3
480	35 53 48 26
481	44 41 19 57
482	24 3 28 30
483	56 7 33 48
484	50 53 54 44
485	52 45 22 57
486	36 46 53 1
487	2 46 42 17
488	10 43 49 17
489	45 13 34 36
490	42 7 49 9
491	58 7 47 59
492	55 41 56 43
493	24 13 32 28
494	13 58 48 30
495	28 60 31 38
496	8 29 50 13
497	58 52 25 22
498	57 13 6 44
499	7 38 54 50
500	18 12 8 59
501	50 46 27 39
502	14 15 27 23
503	6 2 10 35
504	59 14 8 32
505	13 1 52 48
506	46 34 35 28
507	44 12 33 10
508	19 40 22 7
509	50 46 52 54
510	42 19 7 49
511	28 37 54 21
512	58 21 14 8
513	12 33 52 44
514	42 47 50 34
515	25 41 50 9
516	20 35 40 4
517	26 60 1 17
518	41 55 51 60
519	6 11 42 14
520	5 52 48 14
521	56 36 57 43
522	49 20 6 47
523	52 5 44 42
524	24 60 37 29
525	33 40 26 38
526	28 35 3 48
527	1 7 34 47
528	46 26 40 21
529	41 10 38 19
530	17 40 18 16
531	27 51 18 28
532	46 48 13 17
533	28 32 9 20
534	11 51 59 43
535	3 16 18 6
536	28 35 41 40
537	42 40 60 22
538	45 9 16 39
539	24 43 19 59
540	48 22 17 51
541	37 48 19 58
542	11 27 7 30
543	54 25 45 15
544	21 12 5 34
545	52 41 53 39
546	35 20 15 5
547	31 55 22 9
548	24 53 50 16
549	24 37 20 39
550	59 18 53 51
551	4 21 8 35
552	22 1 56 45
553	34 52 51 36
554	56 46 13 54
555	33 25 44 6
556	4 23 13 12
557	2 25 30 29
558	36 43 37 41
559	47 21 1 10
560	58 29 59 12
561	59 28 40 24
562	13 57 56 31
563	29 43 42 44
564	26 14 15 54
565	47 43 59 26
566	39 4 59 40
567	29 35 22 41
568	47 56 34 44
569	23 40 36 7
570	52 38 2 5
571	33 58 37 8
572	54 44 29 20
573	52 43 57 48
574	26 6 41 49
575	43 14 42 17
576	48 27 20 40
577	29 56 52 59
578	6 32 34 29
579	34 50 55 9
580	29 58 60 38
581	32 44 5 11
582	49 3 30 50
583	52 41 1 46
584	31 2 18 57
585	19 37 4 2
586	17 18 59 31
587	37 36 3 31
588	17 52 10 21
589	19 47 3 13
590	59 16 38 22
591	38 37 22 27
592	11 18 51 44
593	27 2 29 58
594	45 9 53 35
595	37 44 25 48
596	37 13 39 15
597	53 1 31 40
598	15 17 19 7
599	9 27 6 58
600	20 31 59 10
601	31 33 13 59
602	5 15 18 30
603	16 42 40 28
604	20 18 32 57
605	20 11 58 56
606	1 56 10 15
607	41 16 4 27
608	21 56 45 49
609	12 38 37 10
610	2 41 19 7
