Students	80
1	17 28 7 21
2	19 22 2 15
3	1 18 11 12
4	17 20 23 5
5	2 15 16 23
6	18 6 12 21
7	12 13 24 1
8	10 13 2 20
9	9 12 17 13
10	5 2 30 27
11	8 7 2 29
12	26 27 11 18
13	27 23 10 11
14	11 1 16 25
15	10 26 24 22
16	30 14 26 4
17	5 15 6 3
18	5 3 25 9
19	18 30 23 6
20	9 24 16 26
21	16 6 1 21
22	4 23 7 6
23	19 16 9 2
24	3 6 12 23
25	15 16 12 22
26	18 14 20 25
27	21 29 28 7
28	22 13 26 21
29	19 28 29 3
30	20 6 14 11
31	29 20 6 10
32	25 2 26 29
33	9 8 26 21
34	7 15 9 19
35	18 13 7 16
36	24 11 22 1
37	17 28 6 14
38	4 29 23 18
39	19 14 28 10
40	21 13 23 26
41	14 21 26 18
42	4 22 5 16
43	3 16 10 24
44	18 28 9 27
45	27 26 4 24
46	18 23 8 14
47	10 5 26 14
48	9 19 22 2
49	30 27 20 4
50	27 28 17 26
51	24 26 27 3
52	9 11 14 7
53	20 30 22 7
54	8 29 5 20
55	15 23 3 5
56	17 11 18 1
57	14 24 17 15
58	10 13 27 8
59	3 11 25 5
60	21 14 28 8
61	11 20 14 25
62	19 13 20 27
63	18 20 21 13
64	3 30 19 18
65	26 5 14 15
66	30 14 11 28
67	12 10 2 15
68	2 15 23 14
69	27 28 18 26
70	24 21 12 29
71	8 14 29 2
72	15 10 30 7
73	7 10 17 21
74	27 15 29 4
75	27 13 22 20
76	27 22 13 26
77	14 11 5 15
78	1 24 25 14
79	16 12 9 6
80	11 17 4 6
